Country,Quality of Life Index,Infant Mortality Rate,Continent,Cost of Bread,Cost of Apartment
Albania,103.5,7.8,Europe,1.41,3395.76
Algeria,99,5.5,Africa,0.21,1942.559769
Argentina,116.1,8.8,South America,2.42,3130.250495
Armenia,101,11.0,Asia,1.19,5203.886618
Australia,185.5,3.1,Oceania,3.74,10708.77098
Austria,190.8,2.9,Europe,4.09,10573.73683
Azerbaijan,112.5,19.2,Asia,0.65,2659.228747
Bangladesh,72.6,25.1,Asia,0.88,1105.031415
Belarus,125,2.6,Europe,0.82,2382.036414
Belgium,163.5,2.9,Europe,3.32,5933.147252
Bolivia,96,7,South America,1.79,1670.13145
Bosnia and Herzegovina,130.4,5.0,Europe,1.5,3193.868408
Brazil,113.5,12.8,South America,2.19,2336.682999
Bulgaria,139.6,5.9,Europe,1.46,3391.127912
Canada,161.3,4.3,North America,3.95,10334.17288
Chile,103.3,6.2,South America,2.32,3304.159001
China,116.4,7.4,Asia,2.45,10713.00729
Colombia,106.5,12.2,South America,1.99,2026.450394
Costa Rica,85,7.6,South America,4.41,3468.700722
Croatia,172.1,4.0,Europe,2.15,5681.739229
Cuba,109,4,North America,1.76,556.5834428
Cyprus,154.8,1.9,Europe,2.86,4868.118897
Czech Republic,171.9,2.7,Europe,2.27,7093.104086
Denmark,205.6,3.6,Europe,4.75,8341.451707
Ecuador,122.3,12.2,South America,2.39,1828.89772
Egypt,86,18.1,Asia,0.95,886.9861503
Estonia,183.5,2.1,Europe,1.84,6215.235526
Finland,199.9,1.4,Europe,3.85,8542.727642
France,159.8,3.4,Europe,2.87,9385.107961
Georgia,120.6,8.7,Europe,0.93,2204.214087
Germany,185,3.1,Europe,3.07,9202.697522
Greece,131.5,3.6,Europe,2.03,4274.90385
Hong Kong,134.5,9,Asia,3.57,40267.5881
Hungary,139.7,3.6,Europe,2.13,4495.455719
India,123.8,29.9,Asia,0.74,2595.36164
Indonesia,98.6,21.1,Asia,1.74,1958.654808
Iran,80.4,12.4,Asia,0.78,1994.656096
Iraq,64,20,Asia,1.25,1654.446849
Republic of Ireland,161.3,3.1,Europe,2.85,7058.715233
Israel,157.6,3.0,Asia,3.59,11693.83719
Italy,145.6,2.6,Europe,3.19,5995.592484
Japan,183.8,1.8,Asia,2.26,9795.077035
Jordan,120.7,13.9,Asia,0.75,1556.850521
Kazakhstan,102,8.8,Asia,0.7,2045.183964
Kenya,106.4,30.6,Africa,0.78,1935.157224
Kuwait,152.5,6.7,Asia,1.53,7962.382762
Latvia,159.4,3.3,Europe,2.17,3890.792379
Libya,102,5.5,Africa,0.47,1093.700391
Lithuania,170.6,3.3,Europe,2.49,6162.083786
Luxembourg,219.3,1.9,Europe,4.42,16539.63118
Malaysia,133.5,6.7,Asia,1.36,3058.394503
Malta,103,6.1,Europe,1.85,5880.347316
Mauritius,76,9.1,Africa,1.02,1724.734382
Mexico,126.6,11.0,South America,3.62,2651.181228
Moldova,87,9,Europe,0.79,2558.935255
Montenegro,110,4.5,Europe,1.39,3782.510001
Morocco,111.9,19.2,Africa,0.69,2102.58667
Nepal,88,24,Asia,0.75,2694.687671
Netherlands,207.5,3.3,Europe,2.79,9145.221523
New Zealand,184.4,4.7,Oceania,2.92,8501.933022
Nigeria,42.7,75.7,Africa,1.99,1458.682512
North Macedonia,115.3,8,Europe,1.05,2681.788187
Norway,189,2.1,Europe,4.65,9622.810281
Oman,204.3,9.8,Asia,1.69,2268.066536
Pakistan,104.5,57.2,Asia,0.86,874.878225
Panama,120.7,13.1,South America,3.47,3284.018215
Peru,84.6,11.1,South America,3.12,2570.471498
Philippines,90.8,22.5,Asia,1.83,3429.445245
Poland,149.3,3.8,Europe,1.82,5626.168836
Portugal,167.5,3.1,Europe,2.17,5591.41352
Qatar,182.9,5.8,Asia,2.3,7191.184145
Romania,137.4,6.1,Europe,1.74,3209.171887
Russia,111.2,6.1,Europe,0.74,2795.245017
Saudi Arabia,170.5,6.0,Asia,1.52,2517.407709
Serbia,120.2,4.8,Europe,1.15,4718.822022
Singapore,162.3,2.3,Asia,3.08,31566.59258
Slovakia,154.4,4.6,Europe,2.32,6043.173992
Slovenia,177.7,1.7,Europe,2.75,6985.114878
South Africa,147.1,28.5,Africa,1.47,1525.158833
South Korea,149.5,2.7,Asia,4.55,17545.05806
Spain,180.8,2.5,Europe,2.08,5844.272735
Sri Lanka,75.2,6.4,Asia,0.9,2966.33909
Sweden,186.7,2.2,Europe,4,7804.935758
Switzerland,204,3.7,Europe,5.58,24949.72867
Taiwan,158.5,10,Asia,2.79,12535.05949
Thailand,98.4,7.8,Asia,2.07,5872.710235
Turkey,128.8,9.1,Asia,1.5,2844.497595
Ukraine,110.7,7.5,Europe,0.88,2073.870659
United Arab Emirates,177.5,6.5,Asia,2.04,7995.05657
United Kingdom,170.6,3.6,Europe,2.36,9591.367788
United States,185.1,5.6,North America,5.26,5049.942996
Uruguay,142.7,6.4,South America,3.84,3887.25968
Venezuela,79,21.4,South America,2.59,870.8324775
Vietnam,97.2,16.5,Europe,1.48,4135.779977
